iter	Accuracy	MultiClass
266	0.755125	0.6045713217
267	0.755125	0.6043210784
268	0.755375	0.604078409
269	0.755	0.6037986274
270	0.755375	0.6035758493
271	0.755875	0.6030991204
272	0.755625	0.602765322
273	0.755375	0.6023615873
274	0.756625	0.6016616367
275	0.75725	0.601342071
276	0.7575	0.6011199909
277	0.757875	0.6008418432
278	0.758	0.6003813319
279	0.758	0.5999240328
280	0.758375	0.5994465485
281	0.758875	0.5988685606
282	0.759	0.5983024369
283	0.759625	0.5978740985
284	0.7595	0.597586511
285	0.760125	0.5974121684
286	0.760875	0.5969040403
287	0.7605	0.5966447053
288	0.760375	0.5963232942
289	0.761125	0.5960027753
290	0.761125	0.5954423663
291	0.76275	0.5947293955
292	0.763125	0.5944698157
293	0.76275	0.593897779
294	0.76275	0.593586128
295	0.763375	0.5931265298
296	0.763875	0.5929146422
297	0.764625	0.5927155087
298	0.76425	0.5924154493
299	0.76425	0.592214669
300	0.76475	0.5920559712
301	0.765	0.5916415249
302	0.765625	0.5913696014
303	0.76575	0.5909561417
304	0.766125	0.590562326
305	0.765625	0.5904031059
306	0.76575	0.589730389
307	0.766625	0.5892133622
308	0.766125	0.589100455
309	0.76775	0.5886021218
310	0.76825	0.5880342425
311	0.76925	0.5877810101
312	0.769875	0.5868540181
313	0.771375	0.5864460762
314	0.7715	0.5860265896
315	0.772125	0.5856068529
316	0.773	0.5851393631
317	0.773125	0.5846226066
318	0.77375	0.584213912
319	0.774	0.5837592123
320	0.774125	0.5831251119
321	0.775	0.5829462964
322	0.775375	0.5822784161
323	0.775625	0.5817846029
324	0.776375	0.5812451896
325	0.776625	0.5810368094
326	0.777125	0.5806875139
327	0.777125	0.5804585704
328	0.777125	0.5801208616
329	0.778375	0.5795127748
330	0.7785	0.5790284912
331	0.778375	0.5788597756
332	0.7785	0.5786291929
333	0.778375	0.5783120279
334	0.779	0.57781512
335	0.779	0.5775542742
336	0.7795	0.5773920285
337	0.77975	0.5767915771
338	0.77975	0.576529424
339	0.779875	0.5762554997
340	0.78075	0.5756477858
341	0.7805	0.5753990987
342	0.78125	0.5749272459
343	0.781	0.5746740234
344	0.781125	0.5743030606
345	0.781375	0.5740028354
346	0.781625	0.5735044668
347	0.78175	0.5732496036
348	0.781875	0.5728767213
349	0.78225	0.5725176017
350	0.782875	0.5722715727
351	0.782875	0.5719350776
352	0.78375	0.571596866
353	0.783875	0.5712367876
